Date,Open,High,Low,Close,Adj Close,Volume
2020-02-03,7100.000000,7300.000000,7075.000000,7125.000000,6738.763672,20150200
2020-02-04,7225.000000,7375.000000,7175.000000,7350.000000,6951.566895,19660000
2020-02-05,7350.000000,7425.000000,7250.000000,7425.000000,7022.500977,16080700
2020-02-06,7500.000000,7525.000000,7350.000000,7350.000000,6951.566895,16798500
2020-02-07,7400.000000,7400.000000,7350.000000,7350.000000,6951.566895,19617100
2020-02-10,7325.000000,7325.000000,7225.000000,7325.000000,6927.921387,12079300
2020-02-11,7300.000000,7375.000000,7275.000000,7300.000000,6904.276855,8656900
2020-02-12,7300.000000,7375.000000,7275.000000,7275.000000,6880.632324,11259100
2020-02-13,7275.000000,7425.000000,7275.000000,7400.000000,6998.855957,20515700
2020-02-14,7375.000000,7600.000000,7325.000000,7525.000000,7117.079590,25732900
2020-02-17,7600.000000,7650.000000,7525.000000,7625.000000,7211.659668,14490000
2020-02-18,7650.000000,7750.000000,7600.000000,7700.000000,7282.593750,23322900
2020-02-19,7675.000000,7825.000000,7625.000000,7775.000000,7353.527832,25852300
2020-02-20,7800.000000,7950.000000,7800.000000,7925.000000,7495.396973,35928100
2020-02-21,7875.000000,7875.000000,7725.000000,7775.000000,7353.527832,47223000
2020-02-24,7600.000000,7700.000000,7475.000000,7575.000000,7164.369629,29756400
2020-02-25,7500.000000,7625.000000,7475.000000,7500.000000,7093.435547,16988100
2020-02-26,7400.000000,7425.000000,7300.000000,7300.000000,6904.276855,36227700
2020-02-27,7250.000000,7300.000000,6925.000000,7075.000000,6691.474121,29663200
2020-02-28,6800.000000,7025.000000,6675.000000,7025.000000,6644.184570,52147500
2020-03-02,6950.000000,6975.000000,6550.000000,6750.000000,6577.185547,41380000
2020-03-03,6850.000000,6950.000000,6700.000000,6800.000000,6625.905762,41705800
2020-03-04,6800.000000,7000.000000,6725.000000,6950.000000,6772.065430,38848200
2020-03-05,7000.000000,7050.000000,6750.000000,6825.000000,6650.265625,39130600
2020-03-06,6700.000000,6700.000000,6400.000000,6400.000000,6236.146973,42861300
2020-03-09,6025.000000,6125.000000,5600.000000,5650.000000,5505.348145,68061300
2020-03-10,5700.000000,5925.000000,5600.000000,5675.000000,5529.708008,82270300
2020-03-11,5675.000000,5725.000000,5275.000000,5525.000000,5383.548340,53293800
2020-03-12,5200.000000,5375.000000,5000.000000,5025.000000,4896.349609,67685900
2020-03-13,5025.000000,5025.000000,5025.000000,5025.000000,4896.349609,0
2020-03-16,5100.000000,5250.000000,4840.000000,4840.000000,4716.085938,49165000
2020-03-17,4830.000000,4840.000000,4510.000000,4510.000000,4394.534180,68571000
2020-03-18,4590.000000,4590.000000,4200.000000,4200.000000,4092.471436,72267200
2020-03-19,3920.000000,3950.000000,3910.000000,3910.000000,3809.895752,10953100
2020-03-20,3800.000000,3800.000000,3640.000000,3640.000000,3546.808350,175719600
2020-03-23,3530.000000,3530.000000,3390.000000,3390.000000,3303.208984,10574300
2020-03-24,3310.000000,3430.000000,3160.000000,3160.000000,3079.097412,132089300
2020-03-26,3160.000000,3690.000000,2970.000000,3590.000000,3498.088379,190756900
2020-03-27,3670.000000,4240.000000,3650.000000,3990.000000,3887.847656,164991800
2020-03-30,3960.000000,3960.000000,3720.000000,3720.000000,3624.760010,41072600
2020-03-31,3830.000000,4020.000000,3720.000000,3820.000000,3722.199951,99610200
2020-04-01,3830.000000,4000.000000,3670.000000,3680.000000,3585.784424,86485500
2020-04-02,3690.000000,3850.000000,3470.000000,3850.000000,3751.431885,58984400
2020-04-03,3880.000000,4040.000000,3840.000000,4010.000000,3907.335693,47584600
